_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,tweet_emotion,tweet_id,tweet_text,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold
2687400298,3/14/2020 14:21:02,false,5519108320,,3/14/2020 14:17:53,false,clixsense,1.0,44591122,UKR,04,Pyatikhatki,91.227.150.14,5,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 14:29:20,false,5519121244,,3/14/2020 14:21:18,false,feca,0.525,45458642,VEN,15,Aricagua,190.75.42.174,5,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 14:49:39,false,5519153389,,3/14/2020 14:48:00,false,clixsense,0.45,45034178,RUS,73,Kazan,87.117.185.64,5,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 14:51:46,false,5519156709,,3/14/2020 14:49:32,false,neodev,0.5033,40214263,UKR,25,Uzhgorod,194.44.151.213,4,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 15:51:52,false,5519257063,,3/14/2020 15:48:28,false,feca,0.4182,45511443,VEN,05,Barinas,186.88.51.56,4,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400299,3/14/2020 14:20:21,false,5519107175,,3/14/2020 14:17:10,false,feca,0.475,45356720,RUS,48,Moscow,79.165.65.86,3,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 14:52:17,false,5519157446,,3/14/2020 14:47:09,false,feca,0.525,45458642,VEN,15,Aricagua,190.75.42.174,5,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 15:02:34,false,5519172813,,3/14/2020 14:57:36,false,feca,0.5,45189103,PSE,00,Gaza,188.161.80.137,6,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 15:05:33,false,5519177711,,3/14/2020 14:47:32,false,feca,0.5167,45699310,EGY,11,Cairo,156.215.116.74,1,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 16:49:02,false,5519355533,,3/14/2020 16:47:56,false,neodev,0.5625,40993983,UKR,14,Zakotne,188.190.221.121,4,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
