_unit_id,_created_at,_updated_at,tweet_emotion,tweet_id,tweet_text,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold_reason
2687400298,3/14/2020 13:36:06,3/14/2020 15:52:02,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",,
2687400299,3/14/2020 13:36:06,3/14/2020 16:49:13,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,,
2687400300,3/14/2020 13:36:06,3/14/2020 14:54:48,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,,
2687400301,3/14/2020 13:36:06,3/14/2020 14:54:48,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,,
2687400302,3/14/2020 13:36:06,3/14/2020 14:56:47,fear,1236686686500732928,"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",,
2687400303,3/14/2020 13:36:06,3/14/2020 14:21:52,fear,1236678661106888704,"You  win some , you  lose some , you  fear some .",,
2687400304,3/14/2020 13:36:06,3/14/2020 16:49:13,fear,1236485607993405440,What if you could face  challenges with less  fear  amp ;  insecurities ? What is your  selfconfidence based on ?,,
2687400305,3/14/2020 13:36:06,3/14/2020 14:54:48,fear,1236607756066590720,"Dark Mind  A short , disturbing , instrumental horror track .  horror  thriller  terror  film  theat…",,
2687400306,3/14/2020 13:36:06,3/14/2020 15:52:02,fear,1236732103741620226,But have you actually tried just taking a bath ? ,,
2687400307,3/14/2020 13:36:06,3/14/2020 15:05:42,fear,1236521223502401539,let us GET THIS SHIZZ ROLLIN  ! ! !  twitchaffiliate  gruntstyle  Twitch  fearclan  fear  USMC  supportsmallstreamers  supports…,,
