_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_review_state,_added_by,_created_at,_what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold_reason,tweet_text,tweet_id,tweet_emotion
2687564722,0.00,41,false,"",0.0,,,created,3/14/2020 14:03:23,"","1
2
3
4
5
6","", amazing  instamood Women s Elegant Square Cut Engagement Rings,1237366867582423045,surprise
2687566078,0.00,37,false,"",0.0,,,created,3/14/2020 14:08:33,"","1
2
3
4
5
6","",Art for the Eyes !,1237345466511171584,surprise
2687566136,0.00,44,false,"",0.0,,,created,3/14/2020 14:08:44,"","1
2
3
4
5
6","",Art for the Home !,1237273993381588992,surprise
2687566315,0.00,57,false,"",0.0,,,created,3/14/2020 14:08:55,"","1
2
3
4
5
6","","Wish You all a Wonderful , Colorful and Musicful Holi With Super Duper Hit Song.📢📢🎶 Loca : YO YO HONEY SINGH",1237368216021651461,surprise
2687566382,0.00,44,false,"",0.0,,,created,3/14/2020 14:09:11,"","1
2
3
4
5
6","",Learn more at :,1237241875578396673,surprise
2687566407,0.00,51,false,"",0.0,,,created,3/14/2020 14:09:24,"","1
2
3
4
5
6","",alr saw it on insta 😊,1237091073723445248,pleasant
2687566445,0.00,42,false,"",0.0,,,created,3/14/2020 14:09:35,"","1
2
3
4
5
6","","We have a dedicated group of professionals that are waiting to care for you and your dental needs . Dental Group of South Florida 📍101 Westward Drive , Miami Springs , Florida 33166 . 📞  305  8851357 💻",1237755940738392065,pleasant
2687566476,0.00,0,true,"",0,,,created,3/14/2020 14:09:44,"","1
2
3
4
5
6","","let us dive into colours and make are lives colourful , wishing you all a very happy holi , may you all have a colourful life ahead . Photograph by",1237283674569113600,surprise
2687566504,0.00,0,true,"",0,,,created,3/14/2020 14:09:51,"","1
2
3
4
5
6","","We at are best known for our  amazing quality of carpets and wide , trendy range of  fabrics , designs , colors and  patterns of carpets . Call Now : 0566009626 , Email : info.ae Or visit :",1237336515589496832,surprise
2687567440,0.04,45,false,"",0.0,,,created,3/14/2020 14:17:17,"",1,"",Happy Women Day ! My favorite woman in the word ❤️  girlpower  womensday  happy  live  love  thankful  gratefulheart  greatfulforlife  girlsareawesome  fun  joy  everydayisagift  majaarnold ❤️,1236769941501677570,happy
2692324220,0.06,16,false,"",0.0,,,created,3/18/2020 20:15:14,"","4
5",""," Australia  amp ;  USA .. unhealthy selfish societies ⤵️ Ugly  hate  amp ;  Fear from  media , Governments  amp ; here we are .  auspol…",1236456308938686464,fear
2692324258,0.09,11,false,"",0.0,,,created,3/18/2020 20:15:24,"","2
6","", amazing  sports Set Ultralight Adjustable Walking Stick,1237293969219952640,surprise
2692324275,1.00,2,false,"",0.0,,,created,3/18/2020 20:15:32,"",3,"", life  getoutside  amazing Muslim Womens High Waist Long Jeans Skirts,1237280495328690176,surprise
2692324305,0.14,7,false,"",0.0,,,created,3/18/2020 20:15:39,"","4
5","","“ What I came to realize is that fear , that is the worst of it . that is the real enemy . So , get up , get out in the real world and you kick that bastard as hard you can right in the teeth. ”  Walter White .",1236633900916584450,fear
2692324343,1.00,5,false,"",0.0,,,created,3/18/2020 20:15:47,"",4,"",VEGAN BURGER 🍔🐔  amazing  notavegan KFC IS NEEDED IN AMERSHAM ! !,1237311906223972357,surprise
2692324373,0.50,4,false,"",0.0,,,created,3/18/2020 20:15:55,"","1
2
3","","Amazing season  sugarracers ! State runners up . No tryouts , no club fees , no cuts , no pickups . Just a bunch of close friends who love to play ball together .",1236787609168379904,pleasant
2692324391,0.00,4,false,"",0.0,,,created,3/18/2020 20:16:01,"","1
6","",Try this 👇 ! Happy Holi !,1237354677949222919,surprise
2692324408,0.29,7,false,"",0.0,,,created,3/18/2020 20:16:07,"","2
5","",Here ’ s a post I have written about fear . Please read it if you have the time 🖤,1236496023616290817,fear
2692324422,0.67,6,false,"",0.0,,,created,3/18/2020 20:16:11,"",2,"",Check out our website to see some of the fabulous garage doors we have . Give us a call to talk through all your needs with one of our specialist sales people on 0800 404 8011 .,1237345665862295552,surprise
2692324475,0.00,6,false,"",0.0,,,created,3/18/2020 20:16:25,"","1
2
3
4
5
6","",Hi ! Another part of animation . Would you play ?,1237322641842847744,surprise
2692324495,0.67,3,false,"",0.0,,,created,3/18/2020 20:16:29,"","2
3","",And how !,1237900189945356288,pleasant
2692324528,0.00,5,false,"",0.0,,,created,3/18/2020 20:16:42,"","1
2
3
4
5
6","",Out of book ideas ? Start making your list with CANOPLES INVESTIGATIONS by,1237322695710212096,surprise
2692325095,0.50,4,false,"",0.0,,,created,3/18/2020 20:16:48,"","1
2","",Play Mega888 ? Like and share to claim your bonus here with ! A real pickup for you !,1236080451468615683,excitement
