_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_review_state,_added_by,_created_at,_what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold_reason,tweet_text,tweet_id,tweet_emotion
2687564722,0.00,0,false,"",0,,,created,3/14/2020 14:03:23,"","1
2
3
4
5
6","", amazing  instamood Women s Elegant Square Cut Engagement Rings,1237366867582423045,surprise
2687566078,0.00,0,false,"",0,,,created,3/14/2020 14:08:33,"","1
2
3
4
5
6","",Art for the Eyes !,1237345466511171584,surprise
2687566136,0.00,0,false,"",0,,,created,3/14/2020 14:08:44,"","1
2
3
4
5
6","",Art for the Home !,1237273993381588992,surprise
2687566315,0.00,0,false,"",0,,,created,3/14/2020 14:08:55,"","1
2
3
4
5
6","","Wish You all a Wonderful , Colorful and Musicful Holi With Super Duper Hit Song.📢📢🎶 Loca : YO YO HONEY SINGH",1237368216021651461,surprise
2687566382,0.00,0,false,"",0,,,created,3/14/2020 14:09:11,"","1
2
3
4
5
6","",Learn more at :,1237241875578396673,surprise
2687566407,0.00,0,false,"",0,,,created,3/14/2020 14:09:24,"","1
2
3
4
5
6","",alr saw it on insta 😊,1237091073723445248,pleasant
2687566445,0.00,0,false,"",0,,,created,3/14/2020 14:09:35,"","1
2
3
4
5
6","","We have a dedicated group of professionals that are waiting to care for you and your dental needs . Dental Group of South Florida 📍101 Westward Drive , Miami Springs , Florida 33166 . 📞  305  8851357 💻",1237755940738392065,pleasant
2687566476,0.00,0,true,"",0,,,created,3/14/2020 14:09:44,"","1
2
3
4
5
6","","let us dive into colours and make are lives colourful , wishing you all a very happy holi , may you all have a colourful life ahead . Photograph by",1237283674569113600,surprise
2687566504,0.00,0,true,"",0,,,created,3/14/2020 14:09:51,"","1
2
3
4
5
6","","We at are best known for our  amazing quality of carpets and wide , trendy range of  fabrics , designs , colors and  patterns of carpets . Call Now : 0566009626 , Email : info.ae Or visit :",1237336515589496832,surprise
2687567440,0.00,0,false,"",0,,,created,3/14/2020 14:17:17,"",1,"",Happy Women Day ! My favorite woman in the word ❤️  girlpower  womensday  happy  live  love  thankful  gratefulheart  greatfulforlife  girlsareawesome  fun  joy  everydayisagift  majaarnold ❤️,1236769941501677570,happy
