_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey:confidence,tweet_emotion,tweet_id,tweet_text,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold
2692385001,false,finalized,3,3/18/2020 21:23:39,3,0.6814,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2692385002,false,finalized,3,3/18/2020 20:47:22,3,0.6094,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2692385003,false,finalized,3,3/18/2020 20:48:29,3,1.0,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2692385004,false,finalized,3,3/18/2020 20:50:19,6,0.6557,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2692385005,false,finalized,3,3/18/2020 20:48:32,3,0.6723,fear,1236686686500732928,"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",
2692385006,false,finalized,3,3/18/2020 20:48:44,3,0.7048,fear,1236678661106888704,"You  win some , you  lose some , you  fear some .",
2692385007,false,finalized,3,3/18/2020 20:46:45,3,1.0,fear,1236485607993405440,What if you could face  challenges with less  fear  amp ;  insecurities ? What is your  selfconfidence based on ?,
2692385008,false,finalized,3,3/18/2020 20:48:02,3,0.657,fear,1236607756066590720,"Dark Mind  A short , disturbing , instrumental horror track .  horror  thriller  terror  film  theat…",
2692385009,false,finalized,3,3/18/2020 20:47:38,2,0.3699,fear,1236732103741620226,But have you actually tried just taking a bath ? ,
2692385010,false,finalized,3,3/18/2020 20:50:19,4,0.6831,fear,1236521223502401539,let us GET THIS SHIZZ ROLLIN  ! ! !  twitchaffiliate  gruntstyle  Twitch  fearclan  fear  USMC  supportsmallstreamers  supports…,
2692385011,false,finalized,3,3/18/2020 20:47:27,3,0.6929,fear,1236487604004143105," I learned that courage was not the absence of fear , but the triumph over it . The brave man is not he who does not feel afraid , but he who conquers that fear .  Nelson Mandela quotes  fear  triumph success",
2692385012,false,finalized,3,3/18/2020 20:51:25,3,0.3448,fear,1236541783590547456, Permission to  fail is the concept that I developed and believed for long now because I think it is more effective way towards success . One has to let go of  fear of being a  failure in order to become  successful . Failure is a step closer to success .,
2692385013,false,finalized,3,3/18/2020 20:47:16,3,1.0,fear,1236693837227188227,Dreaded Tales : A Short  Horror Story Collection  paranormal 👻  psychological  fear 😱  slasher 🔪  zombies 🧟‍♂️🧟‍♀️  superna…,
2692385014,false,finalized,3,3/18/2020 20:50:57,3,1.0,fear,1236679720307175426,The Latest : Mideast stock markets sharply drop on  virus  fear  Mar 8  11:44 AM ET,
2692385015,false,finalized,3,3/18/2020 20:48:13,3,1.0,fear,1236633900916584450,"“ What I came to realize is that fear , that is the worst of it . that is the real enemy . So , get up , get out in the real world and you kick that bastard as hard you can right in the teeth. ”  Walter White .",
2692385016,false,finalized,3,3/18/2020 20:48:40,2,1.0,fear,1236456308938686464," Australia  amp ;  USA .. unhealthy selfish societies ⤵️ Ugly  hate  amp ;  Fear from  media , Governments  amp ; here we are .  auspol…",
2692385017,false,finalized,3,3/18/2020 21:38:11,3,1.0,fear,1236652580928925696," COVID19 will not kill us , but",
2692385018,false,finalized,3,3/18/2020 20:46:40,5,0.3391,fear,1236724941212585985,"📣 New Podcast !  Q  amp ; A  8  Curveball Efficiency , Should You Do Driveline , Velo Reads on a Budget  More  on",
2692385019,false,finalized,3,3/18/2020 20:50:19,2,0.3443,fear,1236684116571099138, fear is fucked up !  spirit is REAL,
2692385020,false,finalized,3,3/18/2020 20:50:19,2,0.3443,fear,1236674725826506752,"Okay . Normal . Living with most Welcome to my world ,",
2692385021,false,finalized,3,3/18/2020 21:23:39,1,0.6283,happy,1236018521836052480,Fridaycuckoo mood .,
2692385022,false,finalized,3,3/18/2020 20:47:38,5,0.6301,happy,1237062388651827200,Major throwback ... missing those days .  peace  love  life  nature  happiness  photography  meditation  art  joy  instagood  happy  god  faith  music  hope  instagram  travel  yoga  freedom  motivation  inspiration…,
2692385023,false,finalized,3,3/18/2020 20:46:09,2,0.7083,happy,1238578982926405632,Smaller churches face bigger problems .  Image credit : Saul LoebAFP via Getty Images ,
2692385024,false,finalized,3,3/18/2020 20:47:22,2,0.6094,happy,1235171802869006337,let us keep it pushing,
2692385025,false,finalized,3,3/18/2020 20:48:43,1,1.0,happy,1236755483991605249,"A true friend stay forever beyond words , distance , time .  love  royal  unconditional  joy  happiness  nature  travel  twitt…",
2692385026,false,finalized,3,3/18/2020 20:51:25,1,1.0,happy,1235921043145060353,Just a Happy doggy and an open field ❤️,
2692385027,false,finalized,3,3/18/2020 20:48:29,1,0.6829,happy,1234144985051729921,Good night 🌃,
2692385028,false,finalized,3,3/18/2020 20:46:23,1,0.6689,happy,1238543908914835456,Thought of the day  good thought,
2692385029,false,finalized,3,3/18/2020 20:48:05,1,0.6159,happy,1236997812895789058,Gm folks  blessings  love  blessed  god  faith  peace  life  happiness  grateful  family  gratitude  jesus  motivation  thankful  happy  prayer  joy  inspiration  positivevibes  happynewyear  godisgood  pray…,
2692385030,false,finalized,3,3/18/2020 20:46:30,1,0.6407,happy,1236218728892809221,Very nice presentation last nite Fola with Herlin Riley ’ s cousin Mister James Andrews the brother of “ …,
2692385031,false,finalized,3,3/18/2020 20:46:09,1,0.375,happy,1238555598024736776," peter  mccormack ,  host of  “ what  bitcoin  did , ”  discusses what makes a",
2692385032,false,finalized,3,3/18/2020 20:48:32,4,0.6919,happy,1234066435531395073,"La multi ani de  martisor 💐Sa aveti o primavara minunata ! Happy  springtime 🦋 In Romania we celebrate the beginning of  springtime today , when the nature blossoms it is",
2692385033,false,finalized,3,3/18/2020 20:48:01,5,0.6645,happy,1235233874059440128,CLINK ! Connect with people with similar journeys as you ! Join our support group ! Log into Facebook  Facebook,
