_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,tweet_emotion,tweet_id,tweet_text,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold
2692385001,3/18/2020 20:46:42,false,5528429468,,3/18/2020 20:45:43,false,clixsense,0.8571,45695802,VEN,25,Caracas,190.79.117.47,2,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2692385001,3/18/2020 20:48:56,false,5528433978,,3/18/2020 20:48:24,false,feca,1.0,45158821,PER,13,Trujillo,190.237.60.6,3,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2692385001,3/18/2020 21:23:39,false,5528493604,,3/18/2020 21:15:57,false,neodev,0.8333,45409983,VEN,14,Mérida,186.95.141.158,3,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2692385002,3/18/2020 20:46:35,false,5528429190,,3/18/2020 20:46:17,false,clixsense,0.8462,44812982,TUR,71,Konya,176.240.100.89,3,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2692385002,3/18/2020 20:47:10,false,5528430474,,3/18/2020 20:46:17,false,neodev,0.7143,44112574,VEN,13,Agua Viva,181.208.120.233,3,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2692385002,3/18/2020 20:47:22,false,5528430850,,3/18/2020 20:46:14,false,feca,1.0,45445424,ARG,07,Buenos Aires,24.232.119.145,1,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2692385003,3/18/2020 20:46:32,false,5528429126,,3/18/2020 20:46:10,false,feca,0.8182,45303376,USA,WA,Seattle,207.188.176.201,3,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2692385003,3/18/2020 20:46:45,false,5528429606,,3/18/2020 20:46:11,false,neodev,0.7778,40196184,MKD,E2,Ohrid,79.141.127.41,3,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2692385003,3/18/2020 20:48:29,false,5528433275,,3/18/2020 20:47:42,false,feca,0.8571,45602765,USA,NY,New York,23.108.18.200,3,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2692385004,3/18/2020 20:46:54,false,5528429946,,3/18/2020 20:46:32,false,feca,0.8182,45465814,USA,FL,Miami,173.44.48.19,6,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2692385004,3/18/2020 20:47:02,false,5528430247,,3/18/2020 20:46:28,false,neodev,0.8889,45419705,VEN,25,Caracas,190.73.8.7,5,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2692385004,3/18/2020 20:50:19,false,5528436505,,3/18/2020 20:46:32,false,neodev,0.875,44311593,VEN,25,Caracas,190.142.253.189,6,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2692385005,3/18/2020 20:47:52,false,5528431866,,3/18/2020 20:47:38,false,clixsense,0.8462,44812982,TUR,71,Konya,176.240.100.89,3,fear,1236686686500732928,"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",
2692385005,3/18/2020 20:48:18,false,5528432825,,3/18/2020 20:47:39,false,feca,0.9,45195403,SRB,00,Belgrade,77.243.23.59,5,fear,1236686686500732928,"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",
2692385005,3/18/2020 20:48:32,false,5528433335,,3/18/2020 20:47:43,false,neodev,1.0,44219383,VEN,04,Santa Cruz,190.198.7.122,3,fear,1236686686500732928,"Why leave in  fear ?  CoronavirusUSA  coronavirus does not kill health people . Eat good , be happy , be safe , love ur partner and have a good sex life . Enjoy life and feel alive .",
2692385006,3/18/2020 20:47:22,false,5528430861,,3/18/2020 20:46:54,false,neodev,0.7778,40196184,MKD,E2,Ohrid,79.141.127.41,5,fear,1236678661106888704,"You  win some , you  lose some , you  fear some .",
